Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Arena,Attend.,Attend./G
1.0,Miami Heat,29.0,58.0,24.0,61,21,7.46,-0.71,6.76,111.7,103.5,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.27899999999999997,0.475,12.6,75.5,0.223,AmericanAirlines Arena,810930,19831
2.0,Chicago Bulls,26.4,62.0,20.0,61,21,7.32,-0.79,6.53,108.3,100.3,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.22699999999999998,0.46299999999999997,13.6,76.2,0.222,United Center,893462,21989
3.0,Los Angeles Lakers,30.2,57.0,25.0,58,24,6.11,-0.1,6.01,111.0,104.3,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,0.47700000000000004,12.8,72.3,0.18100000000000002,STAPLES Center,778877,18997
4.0,San Antonio Spurs,28.8,61.0,21.0,56,26,5.71,0.16,5.86,111.8,105.6,92.3,0.299,0.261,0.5670000000000001,0.527,12.8,24.9,0.22899999999999998,0.491,12.6,74.6,0.19,AT&T Center,750879,18336
5.0,Orlando Magic,27.6,52.0,30.0,56,26,5.46,-0.54,4.92,107.9,102.0,91.2,0.32799999999999996,0.32799999999999996,0.5539999999999999,0.521,14.3,26.1,0.22699999999999998,0.475,13.3,76.9,0.21899999999999997,Amway Center,777852,18982
6.0,Boston Celtics,29.5,56.0,26.0,57,25,5.37,-0.54,4.83,106.2,100.3,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,TD Garden,763584,18624
7.0,Denver Nuggets,27.3,50.0,32.0,54,28,4.76,0.05,4.81,112.3,107.3,95.6,0.36700000000000005,0.258,0.574,0.526,13.1,23.9,0.281,0.5,12.7,75.4,0.22399999999999998,Pepsi Center,696568,17109
8.0,Dallas Mavericks,30.9,57.0,25.0,53,29,4.23,0.18,4.41,109.7,105.0,91.3,0.28600000000000003,0.27399999999999997,0.565,0.525,13.6,24.1,0.222,0.488,13.0,74.8,0.20600000000000002,American Airlines Center,824162,20243
9.0,Oklahoma City Thunder,23.7,55.0,27.0,51,31,3.79,0.02,3.81,111.2,107.2,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,0.493,12.9,73.6,0.228,Chesapeake Energy Arena,744068,18158
10.0,Memphis Grizzlies,25.2,46.0,36.0,48,34,2.34,0.2,2.55,107.6,105.1,91.9,0.29100000000000004,0.136,0.534,0.493,13.0,28.9,0.218,0.502,15.7,72.5,0.228,FedEx Forum,600687,15094
11.0,Houston Rockets,26.5,43.0,39.0,47,35,2.18,0.19,2.37,111.3,109.0,94.2,0.299,0.264,0.55,0.503,12.3,27.4,0.239,0.5,12.6,72.7,0.21899999999999997,Toyota Center,663839,16191
12.0,Portland Trail Blazers,26.7,48.0,34.0,46,36,1.52,0.32,1.85,108.8,107.1,87.9,0.278,0.228,0.5329999999999999,0.486,12.6,29.5,0.22399999999999998,0.51,15.4,72.0,0.231,Rose Garden Arena,840924,20500
13.0,New Orleans Pelicans,26.3,46.0,36.0,44,38,0.89,0.39,1.28,106.2,105.2,88.7,0.29600000000000004,0.192,0.537,0.493,12.8,25.1,0.226,0.501,14.4,76.2,0.22,New Orleans Arena,603088,14942
14.0,Philadelphia 76ers,24.7,41.0,41.0,45,37,1.5,-0.5,1.01,106.6,105.0,91.7,0.273,0.184,0.535,0.494,12.3,24.6,0.21,0.48700000000000004,13.5,74.5,0.231,Wells Fargo Center,604823,14983
