Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Boston Celtics,82,241.2,33.8,77.7,0.434,5.4,15.9,0.34,28.4,61.8,0.45899999999999996,18.2,24.1,0.7559999999999999,10.5,29.1,39.6,18.7,7.0,4.4,15.4,20.2,91.1
2.0,Chicago Bulls,82,241.8,34.2,79.5,0.43,5.2,16.0,0.326,29.0,63.6,0.456,17.7,23.1,0.764,10.1,28.3,38.4,19.0,6.9,5.8,14.1,20.1,91.3
3.0,Milwaukee Bucks,82,241.8,34.6,77.3,0.447,5.3,16.0,0.33399999999999996,29.2,61.4,0.47600000000000003,18.3,23.7,0.77,10.2,32.1,42.3,20.2,6.2,4.8,15.2,20.7,92.7
4.0,Orlando Magic,82,241.8,34.9,80.1,0.436,6.3,18.0,0.35,28.6,62.1,0.461,17.6,23.7,0.743,9.8,29.9,39.7,20.1,7.4,3.8,13.9,21.8,93.7
5.0,New Orleans Pelicans,82,241.8,35.1,76.9,0.457,6.8,19.0,0.35700000000000004,28.4,57.9,0.49,17.0,22.0,0.77,9.4,30.0,39.3,21.2,6.1,4.8,14.5,20.4,94.0
6.0,Miami Heat,82,241.2,35.0,80.7,0.434,6.7,19.3,0.345,28.3,61.3,0.462,18.0,24.1,0.7440000000000001,10.5,28.6,39.2,20.1,7.0,3.0,13.2,21.8,94.6
7.0,Portland Trail Blazers,82,241.5,35.4,75.8,0.467,6.5,17.6,0.36700000000000005,29.0,58.3,0.49700000000000005,17.5,22.8,0.767,10.6,29.1,39.7,19.2,6.9,4.1,15.7,21.3,94.8
8.0,Los Angeles Lakers,82,241.8,36.7,84.0,0.43700000000000006,6.8,20.3,0.335,29.9,63.7,0.469,15.2,19.9,0.765,12.2,29.3,41.5,22.3,7.1,4.5,13.6,20.7,95.4
9.0,Atlanta Hawks,82,240.6,36.7,79.7,0.46,5.6,16.6,0.33799999999999997,31.1,63.2,0.49200000000000005,16.8,21.7,0.774,10.2,30.3,40.6,21.4,6.7,4.2,12.5,18.5,95.8
10.0,Dallas Mavericks,82,240.3,36.5,81.2,0.45,6.2,18.0,0.34299999999999997,30.3,63.1,0.48100000000000004,16.7,22.3,0.75,10.7,30.0,40.7,20.6,7.6,3.7,13.6,20.1,96.0
11.0,Charlotte Hornets,82,241.5,36.0,79.2,0.455,7.0,19.6,0.359,29.0,59.5,0.48700000000000004,18.2,23.3,0.78,9.8,29.8,39.6,21.7,7.3,6.0,13.2,21.1,97.3
12.0,Philadelphia 76ers,82,243.0,36.5,81.0,0.451,5.7,16.8,0.34,30.8,64.2,0.48,18.7,24.2,0.773,10.7,31.8,42.5,21.5,7.1,4.6,14.2,18.8,97.5
13.0,Memphis Grizzlies,82,242.4,36.2,79.1,0.457,7.2,19.4,0.369,29.0,59.7,0.486,18.1,23.8,0.7609999999999999,11.0,29.1,40.1,21.0,7.5,6.2,16.7,21.4,97.6
14.0,San Antonio Spurs,82,241.2,38.1,83.7,0.456,5.8,15.9,0.36700000000000005,32.3,67.7,0.47700000000000004,15.9,20.7,0.7659999999999999,10.8,30.4,41.2,20.5,6.9,4.6,13.4,20.7,98.0
15.0,Brooklyn Nets,82,244.0,37.4,80.5,0.465,6.2,17.0,0.364,31.2,63.5,0.49200000000000005,19.4,25.8,0.7509999999999999,10.4,31.4,41.8,22.2,6.8,4.6,12.3,20.0,100.4
16.0,Detroit Pistons,82,242.4,37.9,78.1,0.486,6.4,17.8,0.358,31.5,60.3,0.523,18.3,23.9,0.7659999999999999,10.6,30.1,40.7,23.3,6.9,4.6,14.1,18.8,100.6
17.0,Indiana Pacers,82,241.2,37.5,83.4,0.449,6.2,17.4,0.359,31.2,66.0,0.473,19.7,26.3,0.75,11.4,31.9,43.3,20.4,7.5,5.7,13.9,21.4,100.9
18.0,Oklahoma City Thunder,82,244.0,38.1,83.2,0.45799999999999996,5.9,16.3,0.361,32.2,66.9,0.48100000000000004,19.0,25.5,0.7440000000000001,11.4,29.2,40.6,20.9,7.2,4.3,14.0,21.5,101.0
19.0,Utah Jazz,82,242.4,36.2,78.8,0.45899999999999996,7.2,19.2,0.376,29.0,59.6,0.486,21.7,27.9,0.778,11.3,29.6,40.9,20.7,7.4,5.0,14.6,22.0,101.3
20.0,Los Angeles Clippers,82,242.1,37.1,81.6,0.455,7.1,19.5,0.365,30.0,62.1,0.484,20.4,26.4,0.7709999999999999,11.1,29.4,40.5,22.3,8.0,4.9,13.7,22.1,101.8
21.0,Denver Nuggets,82,240.3,38.5,83.9,0.45899999999999996,7.0,20.4,0.344,31.4,63.4,0.495,18.8,24.8,0.7559999999999999,10.5,30.8,41.3,22.2,7.5,6.0,13.7,22.7,102.7
22.0,Houston Rockets,82,242.4,39.8,85.1,0.46799999999999997,5.5,15.2,0.358,34.4,69.9,0.49200000000000005,18.6,23.8,0.7809999999999999,11.6,31.1,42.8,20.8,7.2,5.5,13.7,21.4,103.7
23.0,Cleveland Cavaliers,82,240.9,39.4,83.0,0.475,8.1,19.7,0.41100000000000003,31.3,63.3,0.495,17.5,23.1,0.759,10.9,32.6,43.5,24.2,7.5,6.0,13.5,21.3,104.5
24.0,Washington Wizards,82,243.0,38.7,82.2,0.47100000000000003,6.8,18.3,0.373,31.9,63.9,0.499,20.4,26.9,0.7609999999999999,12.1,31.8,43.9,23.1,7.6,5.0,15.8,20.3,104.7
25.0,Sacramento Kings,82,242.1,39.8,83.2,0.478,5.9,16.5,0.355,33.9,66.7,0.508,19.4,25.4,0.762,10.6,30.6,41.2,21.7,8.1,5.7,14.7,21.0,104.7
26.0,Toronto Raptors,82,241.2,39.2,81.3,0.48200000000000004,6.6,17.5,0.376,32.6,63.8,0.511,20.4,26.5,0.769,11.1,30.0,41.1,22.6,7.6,5.6,13.9,19.8,105.4
27.0,Golden State Warriors,82,241.8,38.7,82.8,0.467,6.9,19.3,0.358,31.8,63.4,0.501,21.4,27.6,0.7759999999999999,12.8,32.0,44.8,24.7,8.2,4.3,16.1,18.4,105.7
28.0,New York Knicks,82,241.2,39.5,83.8,0.47200000000000003,6.5,17.6,0.37200000000000005,33.0,66.2,0.499,20.1,26.4,0.762,11.8,32.3,44.0,20.5,7.1,4.4,15.2,20.8,105.7
29.0,Phoenix Suns,82,244.0,40.4,85.6,0.47200000000000003,7.1,19.5,0.36700000000000005,33.2,66.1,0.502,18.1,24.0,0.754,12.0,32.3,44.3,23.0,7.9,4.3,14.5,21.2,105.9
30.0,Minnesota Timberwolves,82,241.2,39.4,84.2,0.46799999999999997,7.8,20.8,0.374,31.6,63.4,0.499,21.1,27.2,0.778,11.1,31.4,42.6,24.8,9.5,5.5,14.4,20.9,107.7
