Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 26 2010,7:30 pm,Miami Heat,80,Boston Celtics,88,Box Score,,18624,
Tue Oct 26 2010,7:30 pm,Houston Rockets,110,Los Angeles Lakers,112,Box Score,,18997,
Tue Oct 26 2010,7:00 pm,Phoenix Suns,92,Portland Trail Blazers,106,Box Score,,20603,
Wed Oct 27 2010,7:00 pm,Boston Celtics,87,Cleveland Cavaliers,95,Box Score,,20562,
Wed Oct 27 2010,7:30 pm,Charlotte Bobcats,86,Dallas Mavericks,101,Box Score,,19440,
Wed Oct 27 2010,7:00 pm,Utah Jazz,88,Denver Nuggets,110,Box Score,,19155,
Wed Oct 27 2010,7:30 pm,Houston Rockets,128,Golden State Warriors,132,Box Score,,18428,
Wed Oct 27 2010,7:30 pm,Portland Trail Blazers,98,Los Angeles Clippers,88,Box Score,,18382,
Wed Oct 27 2010,7:00 pm,Atlanta Hawks,119,Memphis Grizzlies,104,Box Score,,17519,
Wed Oct 27 2010,7:00 pm,Sacramento Kings,117,Minnesota Timberwolves,116,Box Score,,17067,
Wed Oct 27 2010,7:00 pm,Detroit Pistons,98,New Jersey Nets,101,Box Score,,15178,
Wed Oct 27 2010,7:00 pm,Milwaukee Bucks,91,New Orleans Hornets,95,Box Score,,15039,
Wed Oct 27 2010,7:00 pm,Chicago Bulls,95,Oklahoma City Thunder,106,Box Score,,18203,
Wed Oct 27 2010,7:00 pm,Miami Heat,97,Philadelphia 76ers,87,Box Score,,20389,
Wed Oct 27 2010,7:30 pm,Indiana Pacers,109,San Antonio Spurs,122,Box Score,,18581,
Wed Oct 27 2010,7:00 pm,New York Knicks,98,Toronto Raptors,93,Box Score,,18722,
Thu Oct 28 2010,8:00 pm,Washington Wizards,83,Orlando Magic,112,Box Score,,18918,
Thu Oct 28 2010,8:30 pm,Phoenix Suns,110,Utah Jazz,94,Box Score,,19911,
Fri Oct 29 2010,7:30 pm,New York Knicks,101,Boston Celtics,105,Box Score,,18624,
Fri Oct 29 2010,7:00 pm,Indiana Pacers,104,Charlotte Bobcats,101,Box Score,,18351,
Fri Oct 29 2010,7:30 pm,Memphis Grizzlies,91,Dallas Mavericks,90,Box Score,,20060,
Fri Oct 29 2010,8:00 pm,Oklahoma City Thunder,105,Detroit Pistons,104,Box Score,,22076,
Fri Oct 29 2010,7:30 pm,Los Angeles Clippers,91,Golden State Warriors,109,Box Score,,17408,
Fri Oct 29 2010,8:00 pm,Orlando Magic,70,Miami Heat,96,Box Score,,19600,
Fri Oct 29 2010,7:00 pm,Milwaukee Bucks,85,Minnesota Timberwolves,96,Box Score,,17197,
Fri Oct 29 2010,7:00 pm,Sacramento Kings,100,New Jersey Nets,106,Box Score,,13482,
Fri Oct 29 2010,7:00 pm,Denver Nuggets,95,New Orleans Hornets,101,Box Score,,12474,
Fri Oct 29 2010,7:00 pm,Atlanta Hawks,104,Philadelphia 76ers,101,Box Score,,10960,
Fri Oct 29 2010,7:30 pm,Los Angeles Lakers,114,Phoenix Suns,106,Box Score,,18422,
Fri Oct 29 2010,7:00 pm,Cleveland Cavaliers,81,Toronto Raptors,101,Box Score,,15711,
Sat Oct 30 2010,7:00 pm,Washington Wizards,95,Atlanta Hawks,99,Box Score,,18729,
Sat Oct 30 2010,7:00 pm,Detroit Pistons,91,Chicago Bulls,101,Box Score,,21038,
Sat Oct 30 2010,7:30 pm,Sacramento Kings,107,Cleveland Cavaliers,104,Box Score,,20562,
Sat Oct 30 2010,7:30 pm,Denver Nuggets,107,Houston Rockets,94,Box Score,,18161,
Sat Oct 30 2010,8:00 pm,Philadelphia 76ers,86,Indiana Pacers,99,Box Score,,18165,
Sat Oct 30 2010,7:00 pm,Minnesota Timberwolves,89,Memphis Grizzlies,109,Box Score,,12753,
Sat Oct 30 2010,7:30 pm,Charlotte Bobcats,88,Milwaukee Bucks,98,Box Score,,16519,
Sat Oct 30 2010,7:30 pm,Portland Trail Blazers,100,New York Knicks,95,Box Score,,19763,
Sat Oct 30 2010,7:30 pm,New Orleans Hornets,99,San Antonio Spurs,90,Box Score,,18581,
Sun Oct 31 2010,12:30 pm,Dallas Mavericks,99,Los Angeles Clippers,83,Box Score,,13718,
Sun Oct 31 2010,6:30 pm,Golden State Warriors,83,Los Angeles Lakers,107,Box Score,,18997,
Sun Oct 31 2010,1:00 pm,Miami Heat,101,New Jersey Nets,78,Box Score,,17086,
Sun Oct 31 2010,6:00 pm,Utah Jazz,120,Oklahoma City Thunder,99,Box Score,,18203,
Mon Nov 1 2010,7:00 pm,Portland Trail Blazers,98,Chicago Bulls,110,Box Score,,21057,
Mon Nov 1 2010,7:30 pm,San Antonio Spurs,97,Los Angeles Clippers,88,Box Score,,14964,
Mon Nov 1 2010,7:00 pm,Toronto Raptors,108,Sacramento Kings,111,Box Score,,17317,
