WTeam,LTeam,WLoc
Indiana Pacers,Orlando Magic,H
Los Angeles Lakers,Los Angeles Clippers,H
Miami Heat,Chicago Bulls,H
Cleveland Cavaliers,Brooklyn Nets,H
Dallas Mavericks,Atlanta Hawks,H
Detroit Pistons,Washington Wizards,H
Golden State Warriors,Los Angeles Lakers,H
Houston Rockets,Charlotte Hornets,H
Minnesota Timberwolves,Orlando Magic,H
Indiana Pacers,New Orleans Pelicans,V
New York Knicks,Milwaukee Bucks,H
Philadelphia 76ers,Miami Heat,H
Phoenix Suns,Portland Trail Blazers,H
Sacramento Kings,Denver Nuggets,H
San Antonio Spurs,Memphis Grizzlies,H
Toronto Raptors,Boston Celtics,H
Oklahoma City Thunder,Utah Jazz,V
Chicago Bulls,New York Knicks,H
Los Angeles Clippers,Golden State Warriors,H
Atlanta Hawks,Toronto Raptors,H
Milwaukee Bucks,Boston Celtics,V
Brooklyn Nets,Miami Heat,H
Charlotte Hornets,Cleveland Cavaliers,H
Portland Trail Blazers,Denver Nuggets,V
Houston Rockets,Dallas Mavericks,H
San Antonio Spurs,Los Angeles Lakers,V
Memphis Grizzlies,Detroit Pistons,H
Minnesota Timberwolves,Oklahoma City Thunder,H
Orlando Magic,New Orleans Pelicans,H
Phoenix Suns,Utah Jazz,H
Los Angeles Clippers,Sacramento Kings,V
Philadelphia 76ers,Washington Wizards,V
Dallas Mavericks,Memphis Grizzlies,H
Golden State Warriors,Sacramento Kings,H
Indiana Pacers,Cleveland Cavaliers,H
Toronto Raptors,Milwaukee Bucks,V
New Orleans Pelicans,Charlotte Hornets,H
Philadelphia 76ers,Chicago Bulls,H
Portland Trail Blazers,San Antonio Spurs,H
Houston Rockets,Utah Jazz,V
Detroit Pistons,Boston Celtics,H
Los Angeles Lakers,Atlanta Hawks,H
Miami Heat,Washington Wizards,H
Minnesota Timberwolves,New York Knicks,V
Oklahoma City Thunder,Phoenix Suns,H
Orlando Magic,Brooklyn Nets,H
Cleveland Cavaliers,Minnesota Timberwolves,H
Los Angeles Clippers,Houston Rockets,H
Memphis Grizzlies,Boston Celtics,H
Golden State Warriors,Philadelphia 76ers,V
Brooklyn Nets,Utah Jazz,H
Dallas Mavericks,Los Angeles Lakers,H
San Antonio Spurs,Denver Nuggets,V
Indiana Pacers,Detroit Pistons,V
Phoenix Suns,New Orleans Pelicans,V
Charlotte Hornets,New York Knicks,V
Houston Rockets,Portland Trail Blazers,V
Atlanta Hawks,Sacramento Kings,V
Miami Heat,Toronto Raptors,V
Boston Celtics,Utah Jazz,H
Charlotte Hornets,Toronto Raptors,H
Indiana Pacers,Chicago Bulls,H
New Orleans Pelicans,Memphis Grizzlies,V
Milwaukee Bucks,Cleveland Cavaliers,H
Golden State Warriors,Minnesota Timberwolves,V
Oklahoma City Thunder,Dallas Mavericks,H
Orlando Magic,Los Angeles Clippers,H
Washington Wizards,Philadelphia 76ers,V
San Antonio Spurs,Phoenix Suns,H
Denver Nuggets,Atlanta Hawks,H
Los Angeles Lakers,Houston Rockets,V
Miami Heat,Los Angeles Clippers,H
New York Knicks,Charlotte Hornets,V
Chicago Bulls,Utah Jazz,H
Oklahoma City Thunder,Detroit Pistons,V
Indiana Pacers,Toronto Raptors,H
Minnesota Timberwolves,Dallas Mavericks,H
New Orleans Pelicans,Los Angeles Lakers,H
Boston Celtics,Orlando Magic,V
Philadelphia 76ers,Cleveland Cavaliers,H
Phoenix Suns,Denver Nuggets,H
Portland Trail Blazers,Sacramento Kings,H
San Antonio Spurs,Golden State Warriors,H
Washington Wizards,Brooklyn Nets,H
Atlanta Hawks,Orlando Magic,H
Indiana Pacers,Brooklyn Nets,V
Cleveland Cavaliers,Philadelphia 76ers,H
Los Angeles Clippers,Houston Rockets,V
Memphis Grizzlies,Golden State Warriors,H
Boston Celtics,Miami Heat,V
Dallas Mavericks,Milwaukee Bucks,V
Portland Trail Blazers,Sacramento Kings,V
Toronto Raptors,Utah Jazz,H
Minnesota Timberwolves,Los Angeles Lakers,V
San Antonio Spurs,New York Knicks,V
Oklahoma City Thunder,Washington Wizards,H
Phoenix Suns,New Orleans Pelicans,H
Boston Celtics,Orlando Magic,H
Atlanta Hawks,Charlotte Hornets,V
Chicago Bulls,Cleveland Cavaliers,H
Houston Rockets,Toronto Raptors,H
Indiana Pacers,Memphis Grizzlies,H
Los Angeles Clippers,Minnesota Timberwolves,H
San Antonio Spurs,Philadelphia 76ers,V
Portland Trail Blazers,Detroit Pistons,H
Denver Nuggets,Utah Jazz,V
Dallas Mavericks,Washington Wizards,H
Golden State Warriors,Detroit Pistons,H
Los Angeles Lakers,New Orleans Pelicans,H
Miami Heat,Milwaukee Bucks,H
New York Knicks,Atlanta Hawks,V
Charlotte Hornets,Boston Celtics,V
Denver Nuggets,Los Angeles Lakers,H
Los Angeles Clippers,Oklahoma City Thunder,H
Toronto Raptors,Memphis Grizzlies,V
Minnesota Timberwolves,Cleveland Cavaliers,H
Orlando Magic,Milwaukee Bucks,H
Philadelphia 76ers,Houston Rockets,H
Portland Trail Blazers,Phoenix Suns,H
Sacramento Kings,Brooklyn Nets,H
San Antonio Spurs,Washington Wizards,H
Utah Jazz,New Orleans Pelicans,H
Golden State Warriors,Oklahoma City Thunder,H
Houston Rockets,New York Knicks,V
Atlanta Hawks,Philadelphia 76ers,H
Portland Trail Blazers,Boston Celtics,V
Charlotte Hornets,Cleveland Cavaliers,V
Denver Nuggets,Minnesota Timberwolves,H
Indiana Pacers,Milwaukee Bucks,H
Memphis Grizzlies,Los Angeles Lakers,V
Miami Heat,Dallas Mavericks,H
Brooklyn Nets,Phoenix Suns,V
Detroit Pistons,Sacramento Kings,V
Chicago Bulls,Toronto Raptors,V
San Antonio Spurs,Utah Jazz,V
Miami Heat,Charlotte Hornets,V
Chicago Bulls,Indiana Pacers,H
Golden State Warriors,Utah Jazz,H
Houston Rockets,Denver Nuggets,H
