win,lose,probability
Houston Rockets,Los Angeles Lakers,0.8113305695687932
New Orleans Pelicans,Orlando Magic,0.7412867867377688
San Antonio Spurs,Dallas Mavericks,0.7530224315121264
Brooklyn Nets,Boston Celtics,0.7016671723643624
Charlotte Hornets,Milwaukee Bucks,0.8817832650285256
Denver Nuggets,Detroit Pistons,0.7280415474438875
Indiana Pacers,Philadelphia 76ers,0.9372560918279054
Memphis Grizzlies,Minnesota Timberwolves,0.6803696705850286
Miami Heat,Washington Wizards,0.7139037252165941
Chicago Bulls,New York Knicks,0.5206218425717098
Phoenix Suns,Los Angeles Lakers,0.8366426651449665
Oklahoma City Thunder,Portland Trail Blazers,0.504944976735443
Golden State Warriors,Sacramento Kings,0.7503695906108014
Toronto Raptors,Atlanta Hawks,0.7139513824386619
Houston Rockets,Utah Jazz,0.8355837876142476
New York Knicks,Cleveland Cavaliers,0.5414553655232879
Dallas Mavericks,Utah Jazz,0.8917912766371602
Los Angeles Clippers,Oklahoma City Thunder,0.5760432019936416
Minnesota Timberwolves,Detroit Pistons,0.8078917794473418
Washington Wizards,Orlando Magic,0.7456792165277275
Chicago Bulls,Cleveland Cavaliers,0.7751523049025694
Indiana Pacers,Memphis Grizzlies,0.6212599686224844
Los Angeles Clippers,Los Angeles Lakers,0.8483169226801623
Milwaukee Bucks,Philadelphia 76ers,0.5752925208804368
San Antonio Spurs,Phoenix Suns,0.6987581291807162
Portland Trail Blazers,Sacramento Kings,0.7485071488402402
Indiana Pacers,Atlanta Hawks,0.6596116919289137
Memphis Grizzlies,Charlotte Hornets,0.5635247362333486
Brooklyn Nets,Detroit Pistons,0.6395290720957973
Golden State Warriors,Los Angeles Lakers,0.8746335412564206
Houston Rockets,Boston Celtics,0.9082502956614505
Minnesota Timberwolves,Chicago Bulls,0.5336146580406415
Dallas Mavericks,New Orleans Pelicans,0.6657553282542981
Oklahoma City Thunder,Denver Nuggets,0.8599154178766787
Toronto Raptors,Orlando Magic,0.7746230778716366
Miami Heat,Philadelphia 76ers,0.8997801365564401
Phoenix Suns,Utah Jazz,0.7935732082038192
Washington Wizards,Milwaukee Bucks,0.9043629988421061
Los Angeles Clippers,Sacramento Kings,0.9045925678029555
Miami Heat,Toronto Raptors,0.6803795250248367
New York Knicks,Charlotte Hornets,0.5474063819615367
Portland Trail Blazers,Golden State Warriors,0.5834623164846083
Oklahoma City Thunder,Brooklyn Nets,0.6933804570764307
Dallas Mavericks,Boston Celtics,0.8902802064864905
Denver Nuggets,Sacramento Kings,0.6973109543809686
Los Angeles Clippers,Utah Jazz,0.9327254720698377
Memphis Grizzlies,New Orleans Pelicans,0.7920359839467315
Houston Rockets,Philadelphia 76ers,0.889754163204285
Chicago Bulls,Orlando Magic,0.8631161492385854
Indiana Pacers,Milwaukee Bucks,0.9404647576371358
Phoenix Suns,Los Angeles Lakers,0.7648668057819019
Miami Heat,Houston Rockets,0.5916961661163804
Charlotte Hornets,New Orleans Pelicans,0.5366838186780427
New York Knicks,Washington Wizards,0.5043110876461118
Portland Trail Blazers,Cleveland Cavaliers,0.8375471838979994
Oklahoma City Thunder,Toronto Raptors,0.5808956897221806
Toronto Raptors,Boston Celtics,0.7574455989734145
Brooklyn Nets,Minnesota Timberwolves,0.556439150385624
Miami Heat,Charlotte Hornets,0.6419444865100891
New York Knicks,Detroit Pistons,0.6078834991866364
Golden State Warriors,Los Angeles Clippers,0.5085734474295293
Chicago Bulls,Milwaukee Bucks,0.8433860679254339
Orlando Magic,Philadelphia 76ers,0.5429378622217488
Phoenix Suns,Memphis Grizzlies,0.5522472817112372
Denver Nuggets,Sacramento Kings,0.5057284582269599
San Antonio Spurs,Atlanta Hawks,0.8622336931832404
Cleveland Cavaliers,Utah Jazz,0.5777278380101134
Indiana Pacers,Washington Wizards,0.5396588086691076
San Antonio Spurs,Houston Rockets,0.6216430891432381
Portland Trail Blazers,Dallas Mavericks,0.6229653662239171
Indiana Pacers,Boston Celtics,0.8087969419633105
Brooklyn Nets,New York Knicks,0.5828612596632354
Charlotte Hornets,Atlanta Hawks,0.6025851693829432
Denver Nuggets,Cleveland Cavaliers,0.6345111102692171
Detroit Pistons,Milwaukee Bucks,0.7764950992522092
Oklahoma City Thunder,Memphis Grizzlies,0.7210168511022874
Minnesota Timberwolves,Orlando Magic,0.7158639700930066
Chicago Bulls,Philadelphia 76ers,0.8381562758065763
Phoenix Suns,Sacramento Kings,0.8296509230450533
Toronto Raptors,Washington Wizards,0.6375117293552856
Dallas Mavericks,Utah Jazz,0.8102121070316357
Atlanta Hawks,New York Knicks,0.5150691082886646
Chicago Bulls,Boston Celtics,0.8681821148693206
Houston Rockets,Golden State Warriors,0.584682272864888
Indiana Pacers,Washington Wizards,0.6935045643383901
Los Angeles Clippers,Portland Trail Blazers,0.6622311344816549
Miami Heat,Minnesota Timberwolves,0.7438510649013331
Memphis Grizzlies,Milwaukee Bucks,0.8705147220500338
San Antonio Spurs,New Orleans Pelicans,0.9017947817137076
Brooklyn Nets,Orlando Magic,0.8096410730341173
Dallas Mavericks,Miami Heat,0.5068581399424975
Detroit Pistons,Utah Jazz,0.6756500910629493
Charlotte Hornets,Los Angeles Lakers,0.6774962037563739
Oklahoma City Thunder,Sacramento Kings,0.9107568777083268
Golden State Warriors,Phoenix Suns,0.500709564406847
Portland Trail Blazers,Denver Nuggets,0.8045018751059944
Toronto Raptors,Philadelphia 76ers,0.9207017918518661
Chicago Bulls,Detroit Pistons,0.8416726137521949
Cleveland Cavaliers,New Orleans Pelicans,0.5763384343638093
Indiana Pacers,Utah Jazz,0.9045038964449116
San Antonio Spurs,Los Angeles Clippers,0.5436928486925907
New York Knicks,Atlanta Hawks,0.5908105846794821
Dallas Mavericks,Sacramento Kings,0.849306101623883
San Antonio Spurs,Golden State Warriors,0.6300157319719174
Memphis Grizzlies,Los Angeles Lakers,0.8462980114002887
Oklahoma City Thunder,Milwaukee Bucks,0.922362949575335
Portland Trail Blazers,Charlotte Hornets,0.7396602436446112
Toronto Raptors,Orlando Magic,0.8740441486598687
Atlanta Hawks,Utah Jazz,0.774268308700131
Oklahoma City Thunder,Boston Celtics,0.8665571053211608
Portland Trail Blazers,Denver Nuggets,0.6773346910230376
Miami Heat,Indiana Pacers,0.6111218468849854
Houston Rockets,Minnesota Timberwolves,0.5766405014078995
New Orleans Pelicans,Los Angeles Lakers,0.6861315407142401
New York Knicks,Orlando Magic,0.8005704743376585
Phoenix Suns,Brooklyn Nets,0.6583574915572225
Washington Wizards,Detroit Pistons,0.8183708751731423
Dallas Mavericks,Philadelphia 76ers,0.9285591348753532
Golden State Warriors,Brooklyn Nets,0.724139758594159
Memphis Grizzlies,Sacramento Kings,0.8396403128287261
Toronto Raptors,Chicago Bulls,0.614152627126359
Miami Heat,Atlanta Hawks,0.7003918408033147
Cleveland Cavaliers,Boston Celtics,0.5525511610511967
Houston Rockets,Philadelphia 76ers,0.9406775884926615
Indiana Pacers,Denver Nuggets,0.7957558124176412
San Antonio Spurs,Los Angeles Lakers,0.9078818640604547
Minnesota Timberwolves,New Orleans Pelicans,0.5419733377729593
New York Knicks,Utah Jazz,0.8098430972591172
Oklahoma City Thunder,Detroit Pistons,0.9222340254211943
Orlando Magic,Milwaukee Bucks,0.7042359954889573
Phoenix Suns,Charlotte Hornets,0.6691542228420941
Chicago Bulls,Indiana Pacers,0.5016020448495615
Atlanta Hawks,Cleveland Cavaliers,0.5188910038712314
Dallas Mavericks,Minnesota Timberwolves,0.6961616263799467
Golden State Warriors,Charlotte Hornets,0.7336985044150965
Los Angeles Clippers,Phoenix Suns,0.7177391467837931
Memphis Grizzlies,Detroit Pistons,0.8588459421270829
Portland Trail Blazers,Brooklyn Nets,0.730236810998114
San Antonio Spurs,Sacramento Kings,0.8742573373658099
