Visitor/Neutral,Home/Neutral
Detroit Pistons,Atlanta Hawks
Cleveland Cavaliers,Chicago Bulls
New Orleans Pelicans,Golden State Warriors
Philadelphia 76ers,Boston Celtics
Chicago Bulls,Brooklyn Nets
Utah Jazz,Detroit Pistons
Denver Nuggets,Houston Rockets
Minnesota Timberwolves,Los Angeles Lakers
Cleveland Cavaliers,Memphis Grizzlies
Charlotte Hornets,Miami Heat
New York Knicks,Milwaukee Bucks
San Antonio Spurs,Oklahoma City Thunder
Washington Wizards,Orlando Magic
Dallas Mavericks,Phoenix Suns
New Orleans Pelicans,Portland Trail Blazers
Los Angeles Clippers,Sacramento Kings
Indiana Pacers,Toronto Raptors
Memphis Grizzlies,Indiana Pacers
Dallas Mavericks,Los Angeles Clippers
Atlanta Hawks,New York Knicks
Charlotte Hornets,Atlanta Hawks
Toronto Raptors,Boston Celtics
Miami Heat,Cleveland Cavaliers
Minnesota Timberwolves,Denver Nuggets
Chicago Bulls,Detroit Pistons
Golden State Warriors,Houston Rockets
Washington Wizards,Milwaukee Bucks
Oklahoma City Thunder,Orlando Magic
Utah Jazz,Philadelphia 76ers
Portland Trail Blazers,Phoenix Suns
Los Angeles Lakers,Sacramento Kings
Brooklyn Nets,San Antonio Spurs
Utah Jazz,Indiana Pacers
Sacramento Kings,Los Angeles Clippers
Brooklyn Nets,Memphis Grizzlies
Golden State Warriors,New Orleans Pelicans
Phoenix Suns,Portland Trail Blazers
New York Knicks,Washington Wizards
San Antonio Spurs,Boston Celtics
Orlando Magic,Chicago Bulls
Atlanta Hawks,Charlotte Hornets
Dallas Mavericks,Los Angeles Lakers
Houston Rockets,Miami Heat
Denver Nuggets,Oklahoma City Thunder
Milwaukee Bucks,Toronto Raptors
Milwaukee Bucks,Brooklyn Nets
Memphis Grizzlies,Golden State Warriors
Oklahoma City Thunder,Houston Rockets
Phoenix Suns,Los Angeles Clippers
Portland Trail Blazers,Minnesota Timberwolves
San Antonio Spurs,New York Knicks
Cleveland Cavaliers,Philadelphia 76ers
Chicago Bulls,Charlotte Hornets
Toronto Raptors,Dallas Mavericks
Indiana Pacers,Detroit Pistons
Denver Nuggets,Los Angeles Lakers
Atlanta Hawks,Miami Heat
Orlando Magic,New Orleans Pelicans
Memphis Grizzlies,Sacramento Kings
Brooklyn Nets,Atlanta Hawks
New York Knicks,Cleveland Cavaliers
Los Angeles Clippers,Golden State Warriors
Orlando Magic,Houston Rockets
Boston Celtics,Indiana Pacers
Philadelphia 76ers,Milwaukee Bucks
Toronto Raptors,Oklahoma City Thunder
Sacramento Kings,Phoenix Suns
Portland Trail Blazers,Utah Jazz
San Antonio Spurs,Washington Wizards
Oklahoma City Thunder,Chicago Bulls
