Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,81,240.6,38.0,84.2,.451,9.2,26.4,.349,28.8,57.9,.498,14.3,18.9,.759,9.2,33.2,42.4,21.7,7.5,3.9,14.0,19.8,99.6
2,Utah Jazz*,81,240.9,37.2,82.9,.449,9.5,26.0,.365,27.7,56.9,.488,15.9,20.5,.772,8.7,32.9,41.6,20.0,8.3,4.6,15.0,20.5,99.8
3,Boston Celtics*,81,241.5,37.4,85.0,.440,9.4,27.5,.340,28.0,57.4,.488,16.3,21.4,.763,9.6,34.2,43.8,21.2,7.2,4.4,14.1,19.2,100.5
4,Miami Heat*,81,242.8,37.6,83.7,.449,9.6,26.6,.361,28.0,57.2,.491,18.0,23.0,.783,9.1,34.0,43.0,20.9,7.5,4.5,14.1,19.3,102.9
5,Portland Trail Blazers*,81,240.9,38.4,85.8,.448,9.7,26.6,.365,28.7,59.2,.485,16.6,22.0,.754,9.2,33.5,42.8,20.2,7.4,5.1,12.6,19.1,103.1
6,Toronto Raptors*,81,241.5,38.3,85.3,.449,8.9,24.9,.356,29.4,60.4,.487,18.2,23.7,.768,9.7,32.5,42.2,21.7,7.2,4.9,14.4,20.0,103.7
7,Houston Rockets*,81,240.9,39.6,85.6,.462,10.1,28.9,.351,29.4,56.8,.518,14.7,19.6,.747,8.7,33.3,42.0,22.4,7.4,4.4,14.6,20.4,104.0
8,Detroit Pistons,81,241.5,39.2,85.2,.460,11.1,30.8,.360,28.1,54.4,.516,14.7,18.9,.777,9.2,34.6,43.8,25.2,7.3,4.9,14.8,18.5,104.1
9,Oklahoma City Thunder*,81,241.9,38.4,83.9,.458,11.2,30.6,.366,27.2,53.3,.511,16.2,21.1,.767,9.5,32.6,42.2,23.3,7.7,4.6,16.1,21.3,104.2
10,Memphis Grizzlies,81,240.3,37.0,80.3,.461,10.5,28.8,.366,26.5,51.5,.515,20.6,26.7,.769,9.6,32.9,42.5,22.0,8.1,5.2,14.8,20.4,105.1
11,Philadelphia 76ers*,81,241.2,38.1,87.6,.435,10.1,29.7,.342,27.9,57.9,.482,19.2,25.8,.744,10.0,32.2,42.2,21.7,8.5,5.1,14.2,20.4,105.4
12,Indiana Pacers*,82,240.9,39.4,84.8,.465,10.6,30.4,.349,28.8,54.3,.530,14.8,19.5,.757,10.2,32.8,43.0,23.2,7.0,5.2,15.5,18.5,104.2
13,Washington Wizards*,81,242.2,39.0,84.5,.462,10.1,29.1,.348,28.9,55.3,.522,17.9,23.5,.760,9.9,32.7,42.5,22.4,7.8,4.6,14.9,19.9,106.1
14,Sacramento Kings,81,240.9,38.8,82.4,.471,11.9,31.4,.379,27.0,51.1,.528,16.5,21.6,.766,9.1,34.7,43.8,23.8,7.8,4.7,14.3,17.3,106.1
15,Milwaukee Bucks*,81,241.9,39.0,83.4,.467,10.0,27.0,.372,28.9,56.4,.513,18.5,23.6,.783,9.9,32.7,42.5,23.5,7.0,4.4,15.6,19.9,106.5
16,Dallas Mavericks,82,241.5,39.3,83.8,.469,10.7,29.4,.363,28.6,54.4,.526,16.2,21.4,.756,8.8,36.9,45.7,23.5,7.3,4.5,13.7,19.6,105.4
17,Minnesota Timberwolves,81,241.2,40.2,84.6,.475,10.8,29.6,.366,29.4,55.0,.535,16.0,20.6,.781,9.8,32.0,41.7,24.0,6.5,4.7,15.1,20.9,107.3
18,New York Knicks,81,241.9,39.5,86.2,.458,11.2,30.5,.369,28.2,55.7,.506,18.0,23.2,.776,10.1,33.0,43.1,24.1,8.2,4.8,13.3,18.4,108.1
19,Orlando Magic,81,240.6,41.0,87.4,.469,10.0,27.5,.363,31.0,59.9,.518,16.4,21.2,.775,10.5,35.3,45.8,24.5,7.8,5.0,14.2,18.9,108.4
20,Denver Nuggets,81,242.2,41.3,86.7,.476,10.9,28.9,.378,30.4,57.8,.525,15.0,20.3,.738,9.8,31.9,41.6,24.8,8.0,4.8,13.9,20.7,108.5
21,Golden State Warriors*,82,240.6,40.2,90.0,.447,10.4,29.2,.357,29.8,60.8,.490,16.7,22.0,.758,10.9,31.6,42.5,23.6,8.7,3.7,14.3,18.5,107.5
22,Los Angeles Clippers,81,240.3,40.2,87.7,.458,10.7,30.1,.354,29.5,57.6,.512,17.8,22.8,.781,10.6,32.9,43.6,24.6,8.5,5.6,14.0,22.0,108.9
